id,username,screen_name,location,url,description,followers,following,favorite_count,tweet_count,created_at,time_zone,geo_enabled,language,profile_image_url,default_profile,default_profile_image
969768526042030082,Sergio Manchester,Br_Dusseldorf,"Rio de Janeiro, Brasilien",,🇷🇺 Christian Married #Trumpster #MAGA #CCOT #ProLife #BackTheBlue #StandWithIsrael #Patton. Ret. Military Police #NRA  #QAnon #Watch Aficionado,620,723,27,2394,2018-03-03 02:56:48,Pacific Time (US & Canada),False,de,http://pbs.twimg.com/profile_images/969940226205540355/5llouLjv_normal.jpg,True,False
873476274404171776,MDELOB50🇬🇧🐸🔱,MDELOB50,"England, United Kingdom",https://t.co/VjNTO2mdaK,"I will not make any deals with you.I've resigned. I will not be pushed, filed, stamped, indexed, briefed, debriefed, or numbered! My life is my own! https://t.co/nc2YoTgHON 🐸",2230,4841,33424,41375,2017-06-10 09:45:47,Pacific Time (US & Canada),False,en,http://pbs.twimg.com/profile_images/932184848692850688/yAKiF6RT_normal.jpg,False,False
4728131307,[SOF]Jester,SOF_Jester,United States,https://t.co/1T6PFwjc5u,"@SOFstudios Supporter. #HHour #SOCOM, [SOF]Clan Founder & Leader @realdonaldtrump supporter #MAGA",11616,12057,3172,46454,2016-01-06 21:08:10,Eastern Time (US & Canada),True,en,http://pbs.twimg.com/profile_images/971823091293802496/-JijLto2_normal.jpg,False,False
4247374520,IT Guy,ITGuy1959,"St Louis, MO",,"#MAGA. Career Information Technology Professional in Finance Industry, with a passion for history. Leans right but respects intelligent Left. Follow back.",7061,7160,3683,36275,2015-11-15 16:30:59,Pacific Time (US & Canada),True,en,http://pbs.twimg.com/profile_images/667051079108988928/fIiD8LB5_normal.jpg,True,False
940606760481681408,INDESTRUCTIBLE,Webeatimealso,on your six and closing fast,,"We will not stop until there are no more enemies of Humanity,we know no pain,we are UNSTOPPABLE.if we detect you it's hasta la vista #Trump2020 #Istandwithflynn",789,842,7000,9462,2017-12-12 15:38:22,Pacific Time (US & Canada),False,en,http://pbs.twimg.com/profile_images/965907192682635264/hhEyCpZ4_normal.jpg,False,False
17468666,jtblogs,jtblogs,United States,,Christian Conservative. NRA member. Pro-Life. #MAGA #BuildThewall #EndRefugees,13083,13608,139730,468097,2008-11-18 19:18:38,Pacific Time (US & Canada),False,en,http://pbs.twimg.com/profile_images/675722282015318016/5UXFCz3m_normal.jpg,False,False
710272880622354432,k kruter,TechchartKk,United States,,"Independent-No party other than Trump! Maybe time for an American common sense Party. Remember Politicians don't read retweets, Tell them directly! 🇺🇸",4033,4134,32551,34406,2016-03-17 01:13:45,,False,en,http://pbs.twimg.com/profile_images/815726011530747904/iiq_uuyL_normal.jpg,True,False
449901857,JW AXSOM 🇺🇸,jwaxsom,Fly Over Country,https://t.co/3MQhEFBnbC,"20 yr Veteran who gathers and shares news, videos and a proud supporter of our military   #USArmy #USAirForce #Veteran #MAGA",21563,19954,9927,96777,2011-12-29 16:47:32,Central Time (US & Canada),False,en,http://pbs.twimg.com/profile_images/965689372849795072/avJu0jRp_normal.jpg,False,False
20517889,MPal,texasaunt,Texas,,"Fighting 4 values that made us strong! Hard things are put in our way, not to stop us, but to call out our courage and strength. - Anonymous. #MAGA",3887,3954,16472,125229,2009-02-10 14:59:10,Central Time (US & Canada),False,en,http://pbs.twimg.com/profile_images/827632713523830784/37dYnFWx_normal.png,False,False
805074778230927360,☘Debbie Day🇺🇸USA Proud🇺🇸,Debleespecial,United States,,"💛🍃DONALDJTRUMP☘Support our Constitution, Nat'l Security, OurFlag, America1st. Follow Patriots, No LiberalismWelcome BLOCK! #KeepAmericaGreat #Trump2020",3099,3377,14546,12750,2016-12-03 15:42:39,,True,en,http://pbs.twimg.com/profile_images/975182216274722816/pzALvp_r_normal.jpg,True,False
711667371782459392,htdpz,htdpz,"Texas, USA",,#MAGA #GodBlessAmerica #AmericaFirst @realDonaldTrump #HesMyPresident #DrainTheSwamp,15142,14911,69307,78267,2016-03-20 21:34:58,,False,en,http://pbs.twimg.com/profile_images/775401094390308864/Ce8b24Ny_normal.jpg,True,False
704320229321662465,Evat1010,evat101010,,,100% DONALD J TRUMP SUPPORTER               #TRUMP 2020                                                        #MAGA  #AMERICA FIRST,10094,9183,41288,53438,2016-02-29 15:00:03,,True,en,http://pbs.twimg.com/profile_images/753356998440316928/-TdhtYjA_normal.jpg,True,False
281551999,Kimbagirl4u,Kimbagirl4u,Massachusetts,,Animal Lover - Deplorable - NRA Member - MAGA,5370,5166,34901,130953,2011-04-13 14:13:26,Pacific Time (US & Canada),True,en,http://pbs.twimg.com/profile_images/860056184681889792/b4CDjClJ_normal.jpg,False,False
24041474,BentnWasted,BentnWasted,"Portland, OR,",https://t.co/p9VsFV79eL,"Lifelong Conservative, interested in Space exploration, Mars, model trains, Big Bands, prepping. MAGA Blocked by Megan McCain!",8136,8936,28266,86686,2009-03-12 21:24:15,Pacific Time (US & Canada),True,en,http://pbs.twimg.com/profile_images/3682542528/01ef385bf4ca96e16460a3a838088674_normal.jpeg,False,False
859877575979667460,Iam,1withu4ever,,,"God, Family, Country.  Politically awake.  MAGA!",1393,2409,10838,21227,2017-05-03 21:09:24,Pacific Time (US & Canada),False,en,http://pbs.twimg.com/profile_images/973984041539121168/K2lgdW-H_normal.jpg,True,False
860642654022848512,PT,ptauthor,,,Author of two non-fiction works. Currently working on my first novel,6875,6890,1,20299,2017-05-05 23:49:33,Pacific Time (US & Canada),False,en,http://pbs.twimg.com/profile_images/860867440040751105/oayVbPVY_normal.jpg,True,False
930814866583162881,Pami #MAGA  🇺🇸🌞🌞 America the Beautiful!,MagaPami,"Bend, OR",,"Being Called a BOT, is so Fulfilling. When TRUTH Hurts,That BAD, BOT it is! And the Bitches, Whatevered!😉 🇺🇸🇺🇸🌞#MAGA #REDWAVERISING2018 #PatriotsUnite #2A",9350,9910,16613,14616,2017-11-15 15:08:52,,False,en,http://pbs.twimg.com/profile_images/962352810024210432/IUsLQAJW_normal.jpg,True,False
